trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'e': 0.99, 'a': 0.3}",20,0,-101.14813135678656,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'e': 0.9801, 'a': 0.3}",20,11,-45.490278039599346,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'e': 0.9702989999999999, 'a': 0.3}",20,0,-88.19664924725855,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'e': 0.96059601, 'a': 0.3}",20,0,-52.87114810464737,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
5,False,"{'e': 0.9509900498999999, 'a': 0.3}",25,0,-203.63151607195002,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
6,False,"{'e': 0.9414801494009999, 'a': 0.3}",20,0,-182.710397924475,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'e': 0.9320653479069899, 'a': 0.3}",20,0,-74.55520147535529,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,False,"{'e': 0.92274469442792, 'a': 0.3}",20,0,-63.86314724945146,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
9,False,"{'e': 0.9135172474836407, 'a': 0.3}",20,0,-82.57070360687166,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'e': 0.9043820750088043, 'a': 0.3}",20,5,-42.600744819891545,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
11,False,"{'e': 0.8953382542587163, 'a': 0.3}",20,0,-72.95690229980382,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
12,False,"{'e': 0.8863848717161291, 'a': 0.3}",20,0,-79.58849683515135,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
13,False,"{'e': 0.8775210229989678, 'a': 0.3}",20,0,-102.06370787131746,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
14,False,"{'e': 0.8687458127689781, 'a': 0.3}",25,0,-240.93742348634103,"{0: 10, 1: 5, 2: 5, 3: 1, 4: 4}",0
